Param,ParamGroup,USGSPCode,CAS_Reg
2-(Dimethylamino)-N-hydroxy-2-oxoethanimidothioic acid methyl ester,"Organics, pesticide",50410,30558-43-1
"2,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene","Organics, pesticide",,5566-34-7
"2,2'-Biquinoline","Organics, other",49391,119-91-5
"2,2-Dichloropropane","Organics, other",,594-20-7
"2,2-dichloropropane","Organics, other",,594-20-7
"2,3,4,6-Tetrachlorophenol","Organics, pesticide",,58-90-2
"2,3,4-Trichlorobiphenyl","Organics, PCBs",,55702-46-0
"2,3,5,6-Tetrachlorophenol",,,
"2,3,6-Trimethylnaphthalene","Organics, other",49405,829-26-5
"2,3,7,8-tcdd","Organics, other",,
"2,4,5-T","Organics, pesticide",,93-76-5
"2,4,5-tp","Organics, pesticide",,
"2,4,5-Trichlorobiphenyl","Organics, PCBs",,15862-07-4
"2,4,5-Trichlorophenol","Organics, pesticide",,95-95-4
"2,4,6-Trichlorophenol","Organics, pesticide",,88-06-2
"2,4-D","Organics, pesticide",,94-75-7
"2,4-d","Organics, pesticide",,94-75-7
"2,4-D methyl ester","Organics, pesticide",50470,1928-38-7
"2,4-D-13C6","Organics, pesticide",,
"2,4-DB","Organics, pesticide",38746,94-82-6
"2,4-Dichlorophenol","Organics, pesticide",,120-83-2
"2,4-Dimethylphenol","Organics, pesticide",,105-67-9
"2,4-Dinitrophenol","Organics, other",,51-28-5
"2,4-Dinitrotoluene","Organics, other",,121-14-2
"2,4-Pyrimidinediamine, 5-[(3,4,5-trimethoxyphenyl)methyl]-","Organics, other",62023,738-70-5
"2,6-Dichloro-4-methylphenol",,,
"2,6-Diethylaniline","Organics, pesticide",,579-66-8
"2,6-Dimethylnaphthalene","Organics, other",,581-42-0
"2,6-Dinitrotoluene","Organics, other",,606-20-2
"2-Chloro-4,6-diamino-s-triazine","Organics, pesticide",4039,3397-62-4
2-Chloro-4-isopropylamino-6-amino-s-triazine,"Organics, pesticide",,6190-65-4
2-Chloro-6-ethylamino-4-amino-s-triazine,"Organics, pesticide",4038,1007-28-9
2-Chloroethyl vinyl ether,"Organics, other",,110-75-8
2-Chloronaphthalene,"Organics, other",,91-58-7
2-Choro-6-ethylamino-4-amino-s-triazine,,,
2-Ethyl-6-methylaniline,"Organics, pesticide",61620,24549-06-2
2-Ethylhexanol,,,
2-Ethylnaphthalene,"Organics, other",49948,939-27-5
2-Hexanone,"Organics, other",,591-78-6
2-Methyl-2-butanol,"Organics, other",77073,75-85-4
2-Methylanthracene,"Organics, other",49435,613-12-7
2-Methylnaphthalene,"Organics, other",,91-57-6
"2-Propanol, 1,3-dichloro-, phosphate (3:1)","Organics, other",61707,13674-87-8
"2-Pyrrolidinone, 1-methyl-5-(3-pyridinyl)-, (5S)-","Organics, other",61945,486-56-6
"3,3',4,4',5,5'-Hexachlorobiphenyl","Organics, PCBs",,32774-16-6
"3,3'-Dichlorobenzidine","Organics, other",,91-94-1
"3,4-Dichloroaniline","Organics, pesticide",61625,95-76-1
"3,4-Dichlorophenyl isocyanate","Organics, other",63145,102-36-3
"3,5-Dichloroaniline","Organics, pesticide",61627,626-43-7
"3,5-Dimethylphenol","Organics, other",49421,108-68-9
"3,5-Dinitroaniline","Organics, other",49231,618-87-1
38-strontium-90,Radiochemical,,
3-Hydroxycarbofuran,"Organics, pesticide",,16655-82-6
3-hydroxycarbofuran,"Organics, pesticide",,16655-82-6
3-Methylindole,"Organics, other",,83-34-1
"4(3H)-Quinazolinone, 2-methyl-3-(2-methylphenyl)-",,,
"4,4'-Isopropylidenediphenol","Organics, other",,80-05-7
"4,6-Dinitro-o-cresol","Organics, pesticide",,534-52-1
4-Chloro-2-methylphenol,"Organics, pesticide",61633,1570-64-5
4H-Cyclopenta[def]phenanthrene,"Organics, other",49411,203-64-5
"5-Amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-[(trifluoromethyl)thio]pyrazole-3-carbonitrile","Organics, pesticide",,120067-83-6
5-Nitrovanillin,,,
"6-Acetyl-1,1,2,4,4,7-hexamethyltetralin",,,
Acanthamoeba,Microbiological,,
Acebutolol,,,
Acenaphthene,"Organics, other",,83-32-9
Acenaphthene-d10,"Organics, other",,
Acenaphthylene,"Organics, other",,208-96-8
Acetaldehyde,"Organics, other",,75-07-0
Acetaminophen,"Organics, other",62000,103-90-2
Acetochlor,"Organics, pesticide",,34256-82-1
Acetochlor ESA,"Organics, pesticide",,
Acetochlor OA,"Organics, pesticide",,
Acetone,"Organics, other",,67-64-1
Acetonitrile,"Organics, other",,75-05-8
Acetophenone,"Organics, other",,98-86-2
Acidity,"Inorganics, Major, Non-metals",435,
"Acidity, hydrogen ion (H+)","Inorganics, Major, Non-metals",,
"Acidity, hydrogen ion (H+) as CaCO3","Inorganics, Major, Non-metals",,
Acifluorfen,"Organics, pesticide",49315,50594-66-6
Acridine,"Organics, other",49430,260-94-6
