CAS_Reg,Param,ParamGroup,USGSPCode
NULL,2-Methyl-2-butanol,NULL,77073
NULL,2-Methylanthracene,NULL,49435
NULL,2-Methylnaphthalene,NULL,NULL
NULL,2-Methylnaphthalene,NULL,30194
NULL,2-Methylnaphthalene,NULL,62056
NULL,"2-Propanol, 1,3-dichloro-, phosphate (3:1)",NULL,61707
NULL,"2-Propanol, 1,3-dichloro-, phosphate (3:1)",NULL,62088
NULL,"2-Pyrrolidinone, 1-methyl-5-(3-pyridinyl)-, (5S)-",NULL,61945
NULL,"2-Pyrrolidinone, 1-methyl-5-(3-pyridinyl)-, (5S)-",NULL,62005
NULL,"3,3',4,4',5,5'-Hexachlorobiphenyl",NULL,NULL
NULL,"3,3'-Dichlorobenzidine",NULL,NULL
NULL,"3,4-Dichloroaniline",NULL,61625
NULL,"3,4-Dichlorophenyl isocyanate",NULL,63145
NULL,"3,5-Dichloroaniline",NULL,61627
NULL,"3,5-Dimethylphenol",NULL,49421
NULL,"3,5-Dinitroaniline",NULL,49231
NULL,3-Hydroxycarbofuran,NULL,NULL
NULL,3-Hydroxycarbofuran,NULL,49308
NULL,3-Hydroxycarbofuran,NULL,82584
NULL,3-Methylindole,NULL,NULL
NULL,3-Methylindole,NULL,62058
NULL,3-Methylindole,NULL,62807
NULL,"4(3H)-Quinazolinone, 2-methyl-3-(2-methylphenyl)-",NULL,NULL
NULL,"4,4'-Isopropylidenediphenol",NULL,NULL
NULL,"4,4'-Isopropylidenediphenol",NULL,62069
NULL,"4,4'-Isopropylidenediphenol",NULL,62816
NULL,"4,6-Dinitro-o-cresol",NULL,NULL
NULL,"4,6-Dinitro-o-cresol",NULL,34657
NULL,"4,6-Dinitro-o-cresol",NULL,34660
NULL,"4,6-Dinitro-o-cresol",NULL,49299
NULL,4-Chloro-2-methylphenol,NULL,61633
NULL,4H-Cyclopenta[def]phenanthrene,NULL,49411
NULL,"5-Amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-[(trifluoromethyl)thio]pyrazole-3-carbonitrile",NULL,NULL
NULL,"5-Amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-[(trifluoromethyl)thio]pyrazole-3-carbonitrile",NULL,62167
NULL,5-Nitrovanillin,NULL,NULL
NULL,"6-Acetyl-1,1,2,4,4,7-hexamethyltetralin",NULL,NULL
NULL,Acanthamoeba,NULL,NULL
NULL,Acebutolol,NULL,NULL
NULL,Acenaphthene,NULL,NULL
NULL,Acenaphthene,NULL,34205
NULL,Acenaphthene,NULL,34208
NULL,Acenaphthene,NULL,49429
NULL,Acenaphthene-d10,NULL,NULL
NULL,Acenaphthylene,NULL,NULL
NULL,Acenaphthylene,NULL,34200
NULL,Acenaphthylene,NULL,34203
NULL,Acenaphthylene,NULL,49428
NULL,Acetaldehyde,NULL,NULL
NULL,Acetaminophen,NULL,62000
NULL,Acetochlor,NULL,NULL
NULL,Acetochlor,NULL,49260
NULL,Acetochlor ESA,NULL,NULL
NULL,Acetochlor OA,NULL,NULL
NULL,Acetone,NULL,NULL
NULL,Acetone,NULL,81552
NULL,Acetonitrile,NULL,NULL
NULL,Acetophenone,NULL,NULL
NULL,Acetophenone,NULL,62064
NULL,Acetophenone,NULL,62811
NULL,Acidity,NULL,00435
NULL,Acidity,NULL,71825
NULL,"Acidity, hydrogen ion (H+)",NULL,NULL
NULL,"Acidity, hydrogen ion (H+) as CaCO3",NULL,NULL
NULL,Acifluorfen,NULL,49315
NULL,Acridine,NULL,49430
NULL,Acrolein,NULL,NULL
NULL,Acrolein,NULL,34210
NULL,Acrylonitrile,NULL,NULL
NULL,Acrylonitrile,NULL,34215
NULL,Actinium-228,NULL,NULL
NULL,Age,NULL,NULL
NULL,Alachlor,NULL,NULL
NULL,Alachlor,NULL,46342
NULL,Alachlor,NULL,77825
NULL,Alachlor ESA,NULL,NULL
NULL,Alachlor ESA,NULL,50009
NULL,Alachlor OA,NULL,NULL
NULL,Aldicarb,NULL,NULL
NULL,Aldicarb,NULL,49312
NULL,Aldicarb,NULL,82619
NULL,Aldicarb sulfone,NULL,NULL
NULL,Aldicarb sulfone,NULL,49313
NULL,Aldicarb sulfone,NULL,82587
NULL,Aldicarb sulfoxide,NULL,NULL
NULL,Aldicarb sulfoxide,NULL,49314
NULL,Aldicarb sulfoxide,NULL,82586
NULL,Aldrin,NULL,NULL
NULL,Aldrin,NULL,39330
NULL,Aldrin,NULL,39331
NULL,Aldrin,NULL,39332
NULL,Aldrin,NULL,39333
NULL,Aldrin,NULL,49319
NULL,"Algae, floating mats (severity)",NULL,01325
NULL,Algal growth potential,NULL,85209
NULL,Alkalinity,NULL,00409
NULL,Alkalinity,NULL,00410
NULL,Alkalinity,NULL,00413
NULL,Alkalinity,NULL,00417
NULL,Alkalinity,NULL,00418
NULL,Alkalinity,NULL,00419
NULL,Alkalinity,NULL,00421
NULL,Alkalinity,NULL,00431
NULL,Alkalinity,NULL,29801
NULL,Alkalinity,NULL,29802
NULL,Alkalinity,NULL,29803
NULL,Alkalinity,NULL,29813
NULL,Alkalinity,NULL,39036
NULL,Alkalinity,NULL,39086
NULL,Alkalinity,NULL,39087
NULL,Alkalinity,NULL,90410
NULL,Alkalinity,NULL,95410
NULL,"Alkalinity, Bicarbonate as CaCO3",NULL,NULL
NULL,"Alkalinity, Carbonate as CaCO3",NULL,NULL
NULL,"Alkalinity, Hydroxide as CaCO3",NULL,NULL
NULL,"Alkalinity, Phenolphthalein (total hydroxide+1/2 carbonate)",NULL,NULL
NULL,"Alkalinity, Phenolphthalein (total hydroxide+1/2 carbonate) as CaCO3",NULL,NULL
NULL,"Alkalinity, total",NULL,NULL
NULL,"Alkalinity, total as CaCO3",NULL,NULL
NULL,Allyl chloride,NULL,NULL
NULL,Allyl chloride,NULL,78109
NULL,Allyl-sec-butyl-barbituric acid,NULL,NULL
NULL,Alpha emitting radium isotopes,NULL,09510
NULL,Alpha particle,NULL,NULL
NULL,Alpha particle,NULL,01503
NULL,Alpha particle,NULL,01505
NULL,Alpha particle,NULL,01515
NULL,Alpha particle,NULL,01516
NULL,Alpha particle,NULL,04126
NULL,Alpha particle,NULL,04127
NULL,Alpha particle,NULL,49960
NULL,Alpha particle,NULL,49961
NULL,Alpha particle,NULL,62636
NULL,Alpha particle,NULL,62637
NULL,Alpha particle,NULL,62639
NULL,Alpha particle,NULL,62640
NULL,Alpha particle,NULL,63014
NULL,Alpha particle,NULL,63016
NULL,Alpha particle,NULL,75986
NULL,Alpha particle,NULL,75987
NULL,Alpha particle,NULL,76004
NULL,Alpha particle,NULL,80029
NULL,Alpha particle,NULL,80030
NULL,Alpha particle,NULL,80040
NULL,Alpha particle,NULL,99337
NULL,Alprazolam,NULL,NULL
NULL,Alprazolam-D5,NULL,NULL
NULL,Altitude,NULL,00042
NULL,Aluminum,NULL,NULL
NULL,Aluminum,NULL,01105
NULL,Aluminum,NULL,01106
NULL,Aluminum,NULL,01107
NULL,Aluminum,NULL,01108
NULL,Aluminum,NULL,04042
NULL,Aluminum,NULL,30221
NULL,Aluminum,NULL,34790
NULL,Aluminum,NULL,34792
NULL,Ametryn,NULL,82184
NULL,Aminomethylphosphonic acid,NULL,62649
NULL,Amitriptyline,NULL,NULL
NULL,Amitriptyline (+/-)-E-10-hydroxylated,NULL,NULL
NULL,Ammonia,NULL,NULL
NULL,Ammonia,Nutrient,NULL
NULL,Ammonia and ammonium,NULL,00608
NULL,Ammonia and ammonium,NULL,00610
NULL,Ammonia and ammonium,NULL,00611
NULL,Ammonia and ammonium,NULL,71845
NULL,Ammonia and ammonium,NULL,71846
NULL,Ammonia as NH3,NULL,NULL
NULL,Ammonia uptake,NULL,NULL
NULL,Ammonia-nitrogen,NULL,NULL
NULL,Ammonia-nitrogen as N,NULL,NULL
NULL,Ammonium,NULL,NULL
NULL,Ammonium as N,NULL,NULL
NULL,Ammonium as NH4,NULL,NULL
NULL,Ammonium perchlorate,NULL,NULL
NULL,Aniline,NULL,NULL
NULL,Anion deficit,NULL,NULL
NULL,Anion/cation ratio,NULL,NULL
NULL,Anions Total,NULL,NULL
NULL,Anthracene,NULL,NULL
NULL,Anthracene,NULL,34220
NULL,Anthracene,NULL,34221
NULL,Anthracene,NULL,34223
NULL,Anthracene,NULL,49434
NULL,Anthraquinone,NULL,49437
NULL,Anthraquinone,NULL,62066
NULL,Anthraquinone,NULL,62813
NULL,Antimony,NULL,NULL
NULL,Antimony,NULL,01095
NULL,Antimony,NULL,01096
NULL,Antimony,NULL,01097
NULL,Antimony,NULL,01098
NULL,Antimony,NULL,29816
NULL,Antimony,NULL,34795
NULL,Antimony-125,NULL,NULL
NULL,Apparent color,NULL,NULL
NULL,argon,NULL,82043
NULL,Argon,NULL,85563
NULL,Aroclor 1016,NULL,NULL
NULL,Aroclor 1221,NULL,NULL
NULL,Aroclor 1232,NULL,NULL
NULL,Aroclor 1242,NULL,NULL
NULL,Aroclor 1242,NULL,39499
NULL,Aroclor 1248,NULL,NULL
NULL,Aroclor 1248,NULL,39500
NULL,Aroclor 1248,NULL,39503
NULL,Aroclor 1254,NULL,NULL
NULL,Aroclor 1254,NULL,39504
NULL,Aroclor 1254,NULL,39507
NULL,Aroclor 1260,NULL,NULL
NULL,Aroclor 1260,NULL,39508
NULL,Aroclor 1260,NULL,39511
NULL,Aroclor 1262,NULL,NULL
NULL,Arsenate (AsO43-),NULL,62453
NULL,Arsenic,NULL,NULL
NULL,Arsenic,NULL,01000
NULL,Arsenic,NULL,01001
NULL,Arsenic,NULL,01002
NULL,Arsenic,NULL,01003
NULL,Arsenic,NULL,04044
NULL,Arsenic,NULL,29818
NULL,Arsenic,NULL,34800
NULL,Arsenic,NULL,34802
NULL,Arsenite,NULL,62452
NULL,"Arsonic acid, methyl-, ion(1-)",NULL,62454
NULL,Atenolol,NULL,NULL
NULL,Atenolol-D7,NULL,NULL
NULL,Atraton,NULL,NULL
NULL,Atraton,NULL,82185
NULL,Atrazine,NULL,NULL
NULL,Atrazine,NULL,39630
NULL,Atrazine,NULL,39631
NULL,Atrazine,NULL,39632
NULL,Atrazine-d5 (ethyl-d5),NULL,NULL
NULL,Azinphos-methyl,NULL,NULL
NULL,Azinphos-methyl,NULL,39580
